# Postal codes from GeoNames (geonames.org), licensed CC BY 4.0: one entry per code, named after its most populous place. Regenerated by tools\Update-PostalCodes.ps1 on 2026-09-12. Columns: code, place name, region, country, latitude, longitude.
B1Y	Alder Point	Nova Scotia	Canada	46.2538	-60.3566
B2A	North Sydney South Central	Nova Scotia	Canada	46.1169	-60.3769
B2C	Iona	Nova Scotia	Canada	45.9948	-60.8421
B2E	Loch Lomond	Nova Scotia	Canada	45.7501	-60.6152
B2G	Antigonish	Nova Scotia	Canada	45.6168	-61.9986
B2H	New Glasgow	Nova Scotia	Canada	45.5834	-62.6486
B2J	Fourchu	Nova Scotia	Canada	45.707	-60.4665
B2N	Truro	Nova Scotia	Canada	45.3668	-63.2654
B2R	Waverley	Nova Scotia	Canada	44.7599	-63.5525
B2S	Lantz	Nova Scotia	Canada	45.0209	-63.5344
B2T	Enfield	Nova Scotia	Canada	44.8749	-63.4689
B2V	Dartmouth Morris Lake	Nova Scotia	Canada	44.6529	-63.4777
B2W	Dartmouth East Central	Nova Scotia	Canada	44.6752	-63.5077
B2X	Dartmouth North Central	Nova Scotia	Canada	44.702	-63.533
B2Y	Dartmouth South Central	Nova Scotia	Canada	44.6645	-63.5453
B2Z	Dartmouth East	Nova Scotia	Canada	44.7227	-63.4223
B3A	Dartmouth Southwest	Nova Scotia	Canada	44.6819	-63.5768
B3B	Dartmouth Northwest	Nova Scotia	Canada	44.7091	-63.5869
B3E	Porters Lake	Nova Scotia	Canada	44.7722	-63.3361
B3G	Eastern Passage	Nova Scotia	Canada	44.6169	-63.482
B3H	Halifax Lower Harbour	Nova Scotia	Canada	44.6344	-63.5822
B3J	Halifax Mid-Harbour Nova Scotia Provincial Government	Nova Scotia	Canada	44.6451	-63.5762
B3K	Halifax Upper Harbour	Nova Scotia	Canada	44.662	-63.6017
B3L	Halifax Central	Nova Scotia	Canada	44.6508	-63.6146
B3M	Halifax Bedford Basin	Nova Scotia	Canada	44.6784	-63.6582
B3N	Halifax South Central	Nova Scotia	Canada	44.631	-63.6405
B3P	Halifax North West Arm	Nova Scotia	Canada	44.6139	-63.5946
B3R	Halifax South	Nova Scotia	Canada	44.5939	-63.6031
B3S	Halifax West	Nova Scotia	Canada	44.6533	-63.6675
B3T	Lakeside	Nova Scotia	Canada	44.5683	-63.7306
B3V	Harrietsfield	Nova Scotia	Canada	44.5199	-63.6064
B3Z	Tantallon	Nova Scotia	Canada	44.6386	-63.8687
B4A	Bedford Southeast	Nova Scotia	Canada	44.7232	-63.656
B4B	Bedford Northwest	Nova Scotia	Canada	44.7509	-63.7711
B4C	Lower Sackville South	Nova Scotia	Canada	44.7607	-63.637
B4E	Lower Sackville West	Nova Scotia	Canada	44.8163	-63.7387
B4G	Lower Sackville North	Nova Scotia	Canada	44.8814	-63.6798
B4H	Amherst	Nova Scotia	Canada	45.8335	-64.1987
B4N	Kentville	Nova Scotia	Canada	45.0834	-64.4988
B4P	Wolfville	Nova Scotia	Canada	45.0834	-64.3655
B4R	Coldbrook	Nova Scotia	Canada	45.0668	-64.5821
B4V	Bridgewater	Nova Scotia	Canada	44.3835	-64.5155
B5A	Yarmouth	Nova Scotia	Canada	43.8335	-66.1156
B6L	Truro	Nova Scotia	Canada	45.4093	-63.2114
B9A	Port Hawkesbury	Nova Scotia	Canada	45.6168	-61.3485
C0A	Montague	Prince Edward Island	Canada	46.1668	-62.6487
C0B	Prince County (Portage)	Prince Edward Island	Canada	46.6023	-63.9583
C1A	Charlottetown Southeast Prince Edward Island Provincial Government	Prince Edward Island	Canada	46.2716	-63.0165
C1B	Stratford	Prince Edward Island	Canada	46.2179	-63.0795
C1C	Charlottetown North	Prince Edward Island	Canada	46.2645	-63.0842
C1E	Charlottetown West	Prince Edward Island	Canada	46.3451	-63.2011
C1N	Summerside	Prince Edward Island	Canada	46.3959	-63.7876
E1A	Dieppe Moncton East	New Brunswick	Canada	46.0967	-64.7087
E1B	Riverview	New Brunswick	Canada	46.0545	-64.816
E1C	Moncton Central	New Brunswick	Canada	46.0987	-64.8036
E1E	Moncton West	New Brunswick	Canada	46.0771	-64.8529
E1G	Moncton Northwest	New Brunswick	Canada	46.1797	-64.9484
E1H	Lakeville, Shediac Bridge	New Brunswick	Canada	46.1732	-64.6957
E1J	Coverdale	New Brunswick	Canada	45.9976	-64.8483
E1N	Miramichi South	New Brunswick	Canada	46.9501	-65.3239
E1V	Miramichi North	New Brunswick	Canada	47.1942	-65.9381
E1W	Caraquet	New Brunswick	Canada	47.7941	-64.9386
E1X	Tracadie-Sheila	New Brunswick	Canada	47.5144	-64.9181
E2A	Bathurst	New Brunswick	Canada	47.6181	-65.6511
E2E	Rothesay, Quispamsis	New Brunswick	Canada	45.4137	-65.982
E2G	Quispamsis	New Brunswick	Canada	45.4534	-65.931
E2H	Saint John Northeast, Renforth	New Brunswick	Canada	45.35	-66.0101
E2J	Saint John East	New Brunswick	Canada	45.2563	-65.9432
E2K	Saint John North	New Brunswick	Canada	45.3053	-66.0808
E2L	Saint John Central	New Brunswick	Canada	45.2717	-66.0584
E2M	Saint John West	New Brunswick	Canada	45.2347	-66.1749
E2N	Saint John Lakewood	New Brunswick	Canada	45.3176	-65.9271
E2P	Saint John Red Head	New Brunswick	Canada	45.2426	-65.9847
E2R	Saint John Grandview	New Brunswick	Canada	46.0368	-66.0373
E2S	Saint John Loch Lomond	New Brunswick	Canada	45.3371	-65.8133
E2V	Oromocto	New Brunswick	Canada	45.8351	-66.4792
E3A	Fredericton North	New Brunswick	Canada	46.0401	-66.3862
E3B	Fredericton South New Brunswick Provincial Government	New Brunswick	Canada	45.8119	-66.6763
E3C	Fredericton Southwest, New Maryland	New Brunswick	Canada	45.902	-66.7057
E3E	Kingsclear	New Brunswick	Canada	45.8834	-66.9156
E3G	Fredericton	New Brunswick	Canada	46.0546	-66.7344
E3L	St. Stephen	New Brunswick	Canada	45.1804	-67.2953
E3N	Campbellton	New Brunswick	Canada	48.0075	-66.6727
E3V	Edmundston	New Brunswick	Canada	47.3737	-68.3251
E3Y	Grand Falls Northeast	New Brunswick	Canada	47.1683	-67.6207
E3Z	Grand Falls Central	New Brunswick	Canada	46.9266	-67.7466
E4A	Bathurst	New Brunswick	Canada	46.1599	-65.8102
E4B	Minto	New Brunswick	Canada	46.0848	-66.0622
E4C	Youngs Cove	New Brunswick	Canada	45.8693	-65.9006
E4E	Sussex	New Brunswick	Canada	45.7227	-65.5066
E4G	Smiths Creek	New Brunswick	Canada	45.8552	-65.4795
E4H	Hillsborough	New Brunswick	Canada	45.9199	-64.6552
E4J	Salisbury	New Brunswick	Canada	46.0391	-65.0463
E4K	Dorchester	New Brunswick	Canada	45.9016	-64.508
E4L	Sackville	New Brunswick	Canada	45.9188	-64.3845
E4M	Bayfield	New Brunswick	Canada	46.0919	-64.0173
E4N	Cap-Pelé	New Brunswick	Canada	46.2129	-64.2784
E4P	Shediac	New Brunswick	Canada	46.2198	-64.5411
E4R	Cocagne	New Brunswick	Canada	46.3324	-64.6187
E4S	Bouctouche	New Brunswick	Canada	46.4684	-64.739
E4T	Bass River	New Brunswick	Canada	46.3042	-64.972
E4V	Saint-Antoine	New Brunswick	Canada	46.3629	-64.7499
E4W	Richibucto	New Brunswick	Canada	46.6807	-64.8804
E4X	St-Louis-de-Kent	New Brunswick	Canada	46.7401	-64.9698
E4Y	Rogersville	New Brunswick	Canada	46.7345	-65.427
E4Z	Petitcodiac	New Brunswick	Canada	45.9394	-65.1802
E5A	Moores Mills	New Brunswick	Canada	45.3705	-67.1737
E5B	St. Andrews	New Brunswick	Canada	45.0845	-67.0617
E5C	St. George	New Brunswick	Canada	45.1265	-66.8314
E5E	Campobello Island	New Brunswick	Canada	44.8908	-66.9318
E5G	Grand Manan Island	New Brunswick	Canada	44.6976	-66.8065
E5H	Pennfield	New Brunswick	Canada	45.1168	-66.6822
E5J	Lepreau	New Brunswick	Canada	45.1979	-66.4308
E5K	Grand Bay-Westfield	New Brunswick	Canada	45.3407	-66.2528
E5L	Fredericton Junction	New Brunswick	Canada	45.6604	-66.6139
